iter;Initial storage utilization;Loading docks number;Unloading docks number;Forklifts number;palletTypesNum;Objective Value
435;0.2;5;4;20;10;89.892
436;0.1;2;3;44;1;67.026
437;0.5;2;2;11;16;80.688
438;0.8;5;1;11;1;95.255
439;0.1;4;1;12;13;79.112
440;0.3;2;4;44;16;66.026
441;0.7;4;5;31;1;93.836
442;0.1;2;4;41;10;65.241
443;0;6;1;17;2;50.905
444;0.2;1;5;38;3;64.768
445;0.8;1;5;30;11;65.633
446;0.6;7;5;26;6;102.556
447;0;4;5;29;16;86.48
448;0.3;4;5;27;9;95.533
449;0.2;6;1;35;2;77.019
450;0.9;4;5;28;16;97.101
451;0.5;3;1;28;2;69.81
452;1;7;1;26;15;114.799
453;0.3;4;2;20;7;100.855
454;0.9;4;2;11;16;90.181
455;0.3;2;4;29;14;76.787
456;1;2;4;37;6;66.363
457;0.4;3;5;12;2;74.748
458;0.2;2;4;33;10;69.896
459;0.2;1;2;28;3;65.115
460;0;5;2;24;1;54.814
461;0.1;5;2;24;2;67.757
462;0.1;4;2;18;2;82.493
463;0.3;3;3;12;12;94.463
464;0.6;5;2;37;2;82.446
465;0.9;3;1;18;8;83.298
466;0.2;4;1;31;8;66.705
467;1;3;4;14;5;90.138
468;0.9;7;4;32;12;119.785
469;1;7;2;26;1;127.655
470;1;5;3;40;2;83.087
471;0.2;4;5;19;6;88.19
472;0.1;4;2;23;2;74.314
473;0;3;2;25;1;56.809
474;0.8;5;2;19;7;94.836
475;0;5;2;23;1;54.374
476;0.6;6;3;39;5;100.213
477;0.5;2;1;31;13;66.389
478;0;6;2;43;16;62.237
479;0.6;4;3;26;15;93.279
480;0.5;3;4;21;12;85.844
481;0.8;6;1;32;6;97.892
482;0;5;2;21;1;53.992
483;0.8;3;1;41;14;67.808
484;0;4;2;23;1;55.229
485;1;3;3;34;16;71.137
486;0.3;5;3;36;10;90.717
487;0;7;2;23;1;51.585
488;0;5;2;22;1;54.153
489;0.5;4;4;13;10;97.685
490;0.8;7;3;16;9;138.832
491;0.5;6;3;10;7;93.873
492;0;2;4;28;14;80.996
493;0.5;2;2;28;15;67.983
494;1;6;3;31;5;110.535
495;0;6;2;23;1;53.099
496;0;6;2;20;1;54.077
497;0.8;1;4;44;7;65.433
498;0;5;2;39;2;57.671
499;0.1;3;1;44;5;64.227
500;0;7;2;22;1;52.733
501;0.8;6;5;41;1;105.44
502;0.8;4;3;10;2;73.537
503;0.7;5;1;24;15;96.146
504;0.6;7;2;29;3;121.846
505;0.7;3;2;21;15;90.474
506;1;7;4;24;4;104.956
507;1;6;4;40;3;103.987
